,Unnamed: 0,price,year,odometer,lat,long,labels
123713,494852,6995,2005.0,88000.0,32.177754,-110.913301,0
324327,1297308,11615,2013.0,61692.0,27.7061,-97.3537,0
157222,628888,349,2017.0,40920.0,36.919312,-121.76856399999998,0
323222,1292888,9900,2018.0,75.0,29.5855,-98.4071,0
43836,175344,21600,2015.0,41441.0,38.22,-85.74,0
267610,1070440,500,1998.0,196000.0,36.0711,-86.0372,0
239786,959144,7300,2013.0,90291.0,46.8677,-96.7572,0
155010,620040,21999,2016.0,34000.0,38.614952,-121.271667,0
158755,635020,33900,2015.0,82678.0,35.648,-119.4487,0
267411,1069644,7500,1995.0,142000.0,36.0063,-86.7909,0
213151,852604,24599,2014.0,105935.0,39.5805,-104.9011,0
246077,984308,12500,2010.0,139000.0,47.3142,-91.8625,0
241473,965892,2999,2008.0,188000.0,44.8946,-94.3847,0
20644,82576,2100,2004.0,171000.0,43.0348,-83.5268,0
178194,712776,52995,2015.0,57600.0,34.10722,-117.45531,0
285082,1140328,26995,1977.0,26500.0,28.193388,-80.690117,0
210772,843088,44997,2017.0,24758.0,40.151919,-105.10881100000002,0
344,1376,1300,1995.0,134000.0,44.8718,-91.9265,0
341059,1364236,12900,2007.0,202112.0,43.50882,-111.99992,0
83297,333188,5900,2006.0,1160000.0,33.8513,-84.287,0
368567,1474268,12800,2016.0,21320.0,47.912956,-122.235725,0
259386,1037544,42505,2018.0,1.0,38.4018,-93.785,0
314654,1258616,26483,2014.0,77794.0,32.968043,-96.841096,0
199690,798760,3995,2007.0,135342.0,41.376981,-75.51128,0
201623,806492,7795,2008.0,126357.0,40.1077,-75.2796,0
25411,101644,25900,2008.0,60316.0,43.0984,-89.2734,0
343301,1373204,21998,2012.0,118420.0,47.538337,-116.119807,0
73304,293216,9987,2014.0,97775.0,44.024289,-116.991239,0
203219,812876,7400,2012.0,99000.0,40.1284,-75.0607,0
352237,1408948,3600,2007.0,186418.0,36.944651,-76.271322,0
164917,659668,2995,2007.0,145858.0,35.122159,-120.626169,0
154647,618588,11999,2013.0,45228.0,39.12357,-121.61091100000002,0
40545,162180,5995,2005.0,198606.0,49.195031,-122.931583,0
302647,1210588,10850,2004.0,227812.0,45.792754,-108.48371000000002,0
400215,1600860,39,2002.0,104.0,43.0028,-78.8547,0
283890,1135560,26950,2015.0,138207.0,29.650218,-81.650885,0
301554,1206216,4995,2002.0,117460.0,45.794629,-108.480084,0
397876,1591504,36995,2018.0,105.0,43.159,-75.97,0
267621,1070484,33000,2013.0,80000.0,36.1185,-86.26299999999998,0
425792,1703168,10750,2010.0,76500.0,36.0065,-80.4463,0
57228,228912,1800,1972.0,100000.0,37.13284,-95.78558,0
259741,1038964,28500,2017.0,39885.0,38.7196,-90.27,0
260792,1043168,27462,2015.0,31402.0,38.382623,-93.77344,0
76479,305916,5599,2008.0,153750.0,38.2481,-77.4681,0
242355,969420,18248,2015.0,31961.0,44.863287,-93.285342,0
108690,434760,1200,2006.0,254000.0,39.7398,-84.3956,0
80522,322088,2688,2003.0,204000.0,49.281338,-123.063868,0
403014,1612056,7991,2009.0,173667.0,40.7678,-73.1163,0
319786,1279144,9200,2000.0,114214.0,33.108611,-97.188034,0
37114,148456,26000,2014.0,72000.0,36.5276,-93.9359,0
6863,27452,14995,2008.0,184612.0,49.241758,-122.883403,0
367683,1470732,22999,2016.0,1935.0,46.234838,-119.128015,0
253231,1012924,20699,2016.0,2900.0,39.7011,-75.7375,0
417863,1671452,2700,2003.0,270000.0,38.572,-94.8937,0
139252,557008,1999,2000.0,140078.0,38.991329,-76.85623199999998,0
18402,73608,12000,1970.0,4075.0,37.3951,-94.7105,0
26994,107976,22995,2014.0,35189.0,44.679048,-90.189937,0
411396,1645584,10995,2010.0,112857.0,44.913191,-89.610455,0
229840,919360,3950,2011.0,136000.0,42.3349,-83.1801,0
29376,117504,14995,2015.0,52108.0,49.089546,-122.649032,0
91411,365644,19900,2017.0,38895.0,49.04553,-122.277718,0
257984,1031936,5400,2012.0,141000.0,43.550003,-96.701145,0
251678,1006712,38000,2015.0,55345.0,33.2335,-81.3523,0
35621,142484,14332,2016.0,52824.0,30.6729,-88.1009,0
321798,1287192,6950,2013.0,60507.0,27.705342,-97.425228,0
425820,1703280,7999,2007.0,323400.0,36.144,-80.2376,0
369450,1477800,37888,2018.0,1562.0,47.808633,-122.325401,0
104699,418796,15000,1996.0,67000.0,61.206,-149.8101,0
90660,362640,21867,2014.0,65789.0,48.754677,-122.460459,0
354355,1417420,10500,2012.0,47751.0,38.8776,-77.3885,0
200987,803948,7599,2007.0,125944.0,40.149573,-76.20870500000002,0
191437,765748,4900,2004.0,84751.0,42.3509,-71.5434,0
128483,513932,5500,2007.0,134200.0,35.6288,-95.9697,0
285134,1140536,20800,2014.0,114848.0,27.234099,-80.829894,0
354084,1416336,5900,2007.0,180000.0,36.905292,-76.23119399999999,0
62527,250108,32000,2016.0,59903.0,49.316831,-123.098155,0
417883,1671532,1900,1994.0,166000.0,39.0405,-95.7178,0
146454,585816,3995,1998.0,130000.0,43.354877,-124.146166,0
412346,1649384,2200,1999.0,160000.0,44.1573,-87.8267,0
381208,1524832,275,1992.0,169999.0,40.2285,-85.7791,0
17979,71916,19995,2011.0,88511.0,35.0579,-89.86399999999998,0
